Feature ID	Taxon	Consensus
0143fd626029e0573575dc856414aa3841f09e93	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Sulfuritalea	0.7
014a430f05c66f8f80dbbe5722f46e75a7f30eaa	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured; s__uncultured_bacterium	1.0
014bc3abe8dd5260036ec4c1217a7202caf235b6	d__Bacteria; p__Actinobacteriota; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteriaceae; g__Rubrobacter; s__uncultured_bacterium	0.8
01557c354c4ce2ee30ffb045d0fbea6b17b175b4	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptosporangiales; f__Thermomonosporaceae; g__Actinomadura	0.9
01586b6c772222f8a8ae27fbc3672866aa91cbad	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	1.0
0158c851648942a7284349aafd8aaae2db7af15e	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__uncultured_bacterium	0.6
015bcca23481661804c3e5f0e514a0e767127b30	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia	0.7
015c627abc172101a4c5d9fdea49939ba5a8190d	d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Anaeromyxobacteraceae; g__Anaeromyxobacter; s__uncultured_bacterium	0.7
0164de27338b5887ca0b8a56c473deaa1f4cd36d	d__Bacteria; p__Desulfobacterota; c__Desulfarculia; o__Desulfarculales; f__Desulfarculaceae; g__uncultured; s__uncultured_bacterium	0.6
0170f9d7507b5a16a8103299840d1c4c1257e8d4	d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96; s__uncultured_bacterium	0.8
0170ff60928c3581a780cf058dfd83395f7e819f	d__Bacteria; p__WS4; c__WS4; o__WS4; f__WS4; g__WS4; s__uncultured_bacterium	0.8
0175ba61e7a34a87f9c03e1681a5a51fc8169a02	d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__uncultured_bacterium	0.6
0177cbdaf55942b9ab00c121ca91f59163ef7452	d__Bacteria	1.0
017897bad5d3b1571b705d718e9748299703fa25	d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__Haliangium; s__uncultured_bacterium	0.6
01795231ba3c5d38a00ff107d9cf43bbf535a0a3	d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales; f__Geobacteraceae; g__Geobacter	0.7
017ab3fe25e802972ceb7ee71f29687b5a08eccb	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.6
01800498220b897006f63660753adb03802d1f2a	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__uncultured	0.8
0180815d758f27b7a027ae7ea8567da1e380802c	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__uncultured; s__uncultured_bacterium	0.7
018103bb05115b7f0b8d10a1396a81ee1fb3a973	d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales; f__Geobacteraceae	1.0
018471f31c6573cdac5fc4437bd427b1ee6b0c7f	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae; g__Catellatospora	0.7
01892edcb2f7e03421d2c31457fd5a78c765bce2	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__67-14; g__67-14; s__uncultured_bacterium	0.7
0190467012424d62c4333d3e5d9ee75319bf3e23	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium	1.0
01930cb2bb406ac79958401e90f5db9cae910a00	d__Bacteria; p__Firmicutes; c__Bacilli; o__Exiguobacterales; f__Exiguobacteraceae; g__Exiguobacterium	0.9
01956e9e6d96475e17470298d05aa0af39f0df73	d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__uncultured	0.6
019b1da92e8dc503b7573689525a061aa089ad4d	d__Bacteria; p__Zixibacteria; c__Zixibacteria; o__Zixibacteria; f__Zixibacteria; g__Zixibacteria; s__uncultured_bacterium	0.9
019d268fea2e7c57388ec442a727c0c0f075da36	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__Methylophilus	1.0
01a100435ea302a08aaad8afd0480b681b4b8a33	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_1	0.9
01a843b1f20ee65b03ef5a5f06fd0b5b59a3d7c6	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__67-14; g__67-14; s__uncultured_bacterium	0.9
01ac96de50003518fdad5a69c77ed9e0f631c0e0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Salinisphaerales; f__Solimonadaceae	1.0
01b7978b69c5070483944141fd976ce251900a76	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	1.0
01b83bfb292515cbe1257b261ec339f100c53d0f	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Azospirillales; f__Azospirillaceae; g__Skermanella	1.0
01b9c61c91713615d9d6f57d3fc829c2c5f461bc	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured	0.9
01ba44cad811498de3cb03936fa9f840bd7f4e5d	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Iamiaceae; g__Iamia	1.0
01c12e0b2d5ee522c0bd483ccb1aa9e1bdf68f97	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae	0.6
01cdfa70a58067dc16e3def65b4edcaf4c650f93	d__Bacteria; p__Myxococcota; c__bacteriap25; o__bacteriap25; f__bacteriap25; g__bacteriap25	0.9
01cf5425035ab00e049f54ffd650cacb14c43591	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	1.0
01d4295adb83ac416087089c9f7759d22ee3b3b5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__uncultured; s__uncultured_bacterium	0.6
01d5638450a3742b4bdceab43356d7aa81193aff	d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Myxococcaceae; g__Corallococcus	0.6
01d5e49de5014e5dd8369304ebf8bcbd5588e43d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia; s__uncultured_bacterium	0.6
01d80c7ab73d8100625609e803074524ef7a342f	d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__0319-6G20; f__0319-6G20; g__0319-6G20; s__uncultured_bacterium	0.6
01dab3134afc9447c2f372a113bd09bf88396422	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_bacterium	0.7
01e04dffe5da18c52b1aff36828bc62e9aba1a64	d__Bacteria; p__NB1-j; c__NB1-j; o__NB1-j; f__NB1-j; g__NB1-j	1.0
01e97810e3328b8cd7a21f29b899d00c408a100b	d__Bacteria; p__Actinobacteriota; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteriaceae; g__Rubrobacter	0.8
01eb7692a16def1d727af234c57ba3be1b66afb7	d__Bacteria; p__MBNT15; c__MBNT15; o__MBNT15; f__MBNT15; g__MBNT15	1.0
01ed70dc5ef6da334c1e089a224d5e720ce73ab0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Noviherbaspirillum; s__uncultured_bacterium	0.7
01edf726f1437b4cef9de0fba59140026324e8c4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Lysobacter	0.9
01f6246ef1c2fd063a3959486794345198b0f989	d__Bacteria; p__Myxococcota; c__bacteriap25; o__bacteriap25; f__bacteriap25; g__bacteriap25; s__uncultured_bacterium	0.9
01fd8f43da0d6a5423f3ab9a8c7e87a42c7c16ee	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium	1.0
01ffcde119b75ef0142082d480741a77a35fc36d	d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Anaeromyxobacteraceae; g__Anaeromyxobacter; s__uncultured_bacterium	0.6
0200d83a6b848790b95ba189af9775fcbcae20d1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	1.0
02014dcd80a4d95f13e16639df914e625da941b8	d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Anaeromyxobacteraceae; g__Anaeromyxobacter; s__uncultured_bacterium	0.8
02073c47ba49f77614e6e4a9bc6189e19320d9c9	d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__Christensenellaceae_R-7_group; s__uncultured_bacterium	0.6
020c2cf74e63c03c500f47de9e7eb3bcbd71106d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PLTA13; f__PLTA13; g__PLTA13; s__uncultured_bacterium	0.8
021dc2da82b4ac514f2180e38bdfd1b7ba057869	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae	0.7
0221ea3bc34bdc022209cb3543065d5169f75fcc	d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10; s__uncultured_bacterium	0.6
02379d0af1a5805167e49d6a8a6fa79ab0c2cade	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas	0.7
023c57a4ba95c68d8fcc50ee984ebbe2e24be962	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__uncultured	0.8
023ed80dab802db1666d24e46ab919fed71ddf75	d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Chloroflexaceae	1.0
0240b9ff1d1ecbe4ee104509ddfda4d61b9e5dfb	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured; s__uncultured_bacterium	1.0
0242f7c24dcc131c200b45ea7e21957095a6f706	d__Bacteria	1.0
024406f4f8a8e398503ecf4ec34b0af30cdcf6f6	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__ADurb.Bin063-1; s__uncultured_bacterium	0.6
024a142537a46b6434383f545c74fe8c6cfbee2b	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__uncultured; s__uncultured_bacterium	0.7
024bc17260d69245b010fd37b13030e965892420	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Terrabacter	0.9
02524c0954c9fd20acb7dbbc0d72091bab9189ca	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__SC-I-84; g__SC-I-84; s__uncultured_bacterium	0.9
02553654a68f3bcc34d8fbcaf6180068fe3f4357	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia	1.0
0257973f2f97c5e2ef1a2032cbf40edcf0dcb364	d__Bacteria; p__Fibrobacterota; c__Chitinivibrionia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium	1.0
025ab338dd828805704458aa28b906413a44329c	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Kineosporiales; f__Kineosporiaceae	0.9
025fd7e3b1503f46df7ebb97f2707ec557635ec5	d__Bacteria; p__Fibrobacterota; c__Fibrobacteria; o__Fibrobacterales; f__Fibrobacteraceae; g__possible_genus_04	0.8
