"","logFC","logCPM","LR","PValue","FDR"
"Bra035868",0.387646539694017,1.6756419736394,1.47469050264897,0.224607093733133,0.559525248062713
"Bra001247",0.262050998136126,3.84888096350447,1.47466595971982,0.224610950874139,0.559525248062713
"Bra029593",0.205715971686936,5.06464773773654,1.47301911410251,0.224869948996871,0.560112379955517
"Bra016849",0.375053948162231,3.88255938636165,1.47273510677042,0.224914650812406,0.560152311342485
"Bra021465",0.221983499546064,6.50683924158418,1.47262112800299,0.224932593690868,0.560152311342485
"Bra035515",-0.230538861971683,3.7250358866595,1.47238821332423,0.224969265155798,0.560185590422134
"Bra027235",-0.32400342727172,4.57673142722778,1.47204150619482,0.225023866061503,0.56026350325517
"Bra009485",0.235688190573194,4.7486272071489,1.47139295505888,0.225126045326395,0.560459848081063
"Bra102675",0.202098431004177,4.93421544674867,1.470862472806,0.22520966422005,0.560609950270811
"Bra026092",-0.23348506944529,5.85948096990381,1.47057127152886,0.225255581557184,0.560648673706144
"Bra102719",0.3719594412419,1.66927970073036,1.47046795839867,0.225271874926364,0.560648673706144
"Bra011682",-0.246658179359992,3.62058308857029,1.47006089509683,0.22533608607386,0.560750413408485
"Bra031595",-0.384343697198907,2.57039983086079,1.46958979790955,0.225410425498588,0.560811692062125
"Bra025695",0.366865887725376,2.78213761408308,1.46953602396224,0.225418912931614,0.560811692062125
"Bra020572",-0.235916065068258,7.24935868287039,1.46946126593903,0.225430713032046,0.560811692062125
"Bra026412",-0.18802321006736,5.09686205169824,1.46925571768158,0.225463161398635,0.560834363594989
"Bra000944",-0.179738729312548,5.40948784798459,1.4688316562887,0.225530122511883,0.560942871204657
"Bra000413",-0.236516922061487,4.47068567713741,1.46838724066769,0.225600323259329,0.561010270715553
"Bra007991",0.410981000808353,3.07634474186333,1.46809118432151,0.225647103444748,0.561010270715553
"Bra034675",-0.289766918705185,8.96521837150161,1.46809057323999,0.225647200014444,0.561010270715553
"Bra100704",-0.426354168925146,1.38700882782699,1.46806912018536,0.225650590289059,0.561010270715553
"Bra027833",-0.170786819087341,5.33061491088723,1.46784125856423,0.225686603548613,0.561041769723559
"Bra004552",-0.322287511995524,2.50503934452043,1.4676285673807,0.225720225363697,0.561067317860284
"Bra016721",0.2837777571294,5.22828716062672,1.46694327717812,0.225828595627751,0.56122121912433
"Bra028120",0.219940866135847,3.65931399967204,1.46688099149341,0.225838448442917,0.56122121912433
"Bra015862",-0.253444523176525,3.72651018378668,1.4667941026466,0.225852194032226,0.56122121912433
"Bra022469",0.182189512959839,6.15783476660851,1.46626533409147,0.225935865497586,0.561295925844241
"Bra010316",0.215312241017603,4.18217894159016,1.46620982055873,0.225944652025927,0.561295925844241
"Bra100805",0.540072198169475,1.42405323746063,1.46614957513332,0.225954187969321,0.561295925844241
"Bra033282",-0.217289417225473,6.39245580788062,1.46601383581509,0.225975675229628,0.561295925844241
"Bra036647",-0.198995530558277,6.53532096091929,1.46552383669786,0.226053261516325,0.561413705577175
"Bra002156",-0.248062238910744,4.50321998604992,1.46541934262467,0.226069811208118,0.561413705577175
"Bra006244",-0.425925820155024,2.75140112377567,1.46497476921892,0.226140238669172,0.561530581276463
"Bra033017",0.376625588395,1.58142336048023,1.46426510489054,0.226252715326447,0.561625827113199
"Bra008370",-0.238745740305533,3.58948589244121,1.464244006203,0.226256060343821,0.561625827113199
"Bra038909",-0.191383184660781,4.8897010093945,1.46415572341978,0.226270057472018,0.561625827113199
"Bra101173",0.308879377454472,2.44258124248468,1.46393386826077,0.226305236928733,0.561625827113199
"Bra038959",0.205838399456818,3.91453418624108,1.4636803489568,0.2263454453943,0.561625827113199
"Bra023935",-0.179538256050526,6.05247298617485,1.46354399865089,0.226367074264327,0.561625827113199
"Bra028057",-0.182845885575224,5.09001147874431,1.46352305517362,0.226370396689819,0.561625827113199
"Bra036948",-0.218280333049528,6.34815504069537,1.46335797826916,0.226396586163746,0.561625827113199
"Bra014956",0.186369514165696,5.13493825097554,1.46328556867245,0.226408075104543,0.561625827113199
"Bra018331",-0.30993707763694,3.41092837419853,1.46317093254682,0.226426265391469,0.561625827113199
"Bra015243",-0.192622927294979,4.97421407822928,1.46299714140129,0.226453845655174,0.561625827113199
"Bra000298",0.222766123562898,5.46084237523868,1.4629645695435,0.226459015184674,0.561625827113199
"Bra007337",0.314594162718044,2.2709831003691,1.46277573965127,0.226488987459352,0.561625827113199
"Bra025990",0.172719743751066,5.88657915324279,1.46267016014754,0.226505747782651,0.561625827113199
"Bra036612",0.231304274405879,3.7229014143262,1.4623921781561,0.226549883435559,0.56167731570974
"Bra031833",0.274052730297201,2.9510782204564,1.46184919407261,0.226636123701369,0.561828122966846
"Bra036325",-0.239134693098212,4.80861089369492,1.46155078486965,0.226683535784618,0.561828122966846
"Bra026126",0.19406571475003,5.03366940012655,1.46137385290622,0.226711652853305,0.561828122966846
"Bra009847",0.167429107951986,5.0844339713317,1.46110025955707,0.226755139074358,0.561828122966846
"Bra029788",0.18965697696502,4.95028658469929,1.46104299230774,0.22676424267009,0.561828122966846
"Bra036360",0.446558303688737,3.10171252579562,1.46103786618516,0.226765057575195,0.561828122966846
"Bra034208",0.178279216505953,6.19780353066444,1.46097944218845,0.226774345548031,0.561828122966846
"Bra006320",0.437447805237386,1.56856619909855,1.46015729723856,0.226905094776086,0.562069783472048
"Bra018036",-0.172373277254874,6.15350698655307,1.45994870447092,0.22693828258047,0.562069783472048
"Bra029730",-0.278431164764082,3.87979179271358,1.45992504102008,0.226942047882697,0.562069783472048
"Bra038205",0.263714405939368,3.28700728654784,1.45958376354652,0.226996359927402,0.562146369345203
"Bra019045",-0.211021381484719,7.70677896935257,1.45935091173949,0.227033425710814,0.562180234240027
"Bra006096",0.261586274414467,3.74826837657581,1.45875178164878,0.227128829789489,0.562358534579228
"Bra036635",0.183536256940469,6.26335898452978,1.45848169057914,0.227171854216562,0.56240712239811
"Bra002288",-0.243941940050848,5.46858999391898,1.45807762201397,0.227236239012205,0.562421367442686
